タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 11:43:51,3~10年(ナカーマ、仲良くしましょう!!),ある,バッカスナイト(東京 池袋),参加したい,"SNS等の絡みもなく、初対面にも関わらずいろんな方に話しかけていただけ、ゴールが決まった時には抱き合って喜びました。負けはしましたが悲しみ半減しました。
悪い点はとくになかったです",Twitter,,ない,,,,,,,
2022/02/06 11:43:57,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter",AFTV（現地グーナーの代表格！）,ない,,,,,,,
2022/02/06 11:45:19,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter, YouTubeなど",,ない,,地方住みなので、その近くであれば。あと、未成年なので、お酒なしのやつがいいです。,,,,,
2022/02/06 11:47:15,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 11:49:08,10年以上(!?),ない,,,,"ニュースサイト, 掲示板, Twitter, インスタ","David Ornstein , Fabrizio Romano",ない,,,,,,,
2022/02/06 11:51:19,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ブログ, Twitter",,ない,,,,,,,
2022/02/06 11:51:46,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",さるさんや、山中拓磨さん、mygunnerさんの情報をよく読んでいます。,ない,,地元であれば参加したいと思っています。,,,,,
2022/02/06 11:53:36,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",猿さんのブログ,ない,,コロナ明けに集まりたいです。,,,,,
2022/02/06 11:53:43,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,サッカー未経験者と経験者が混ざって楽しくサッカーをしてみたいです！,,,,,
2022/02/06 11:55:30,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:00:25,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 12:08:53,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:11:56,10年以上(!?),ある,"Gooners Night (東京 新宿御苑), オイナイ(広島), クロナイ(福岡), クマナイ(熊本), 桃ナイ",参加したい,チャント歌えてめちゃくちゃ楽しかった！負けた試合もみんなで分かち合えてダメージ軽減！,"ニュースサイト, ブログ, Twitter, インスタ",my gooner さん,ある,ぐな酒場,グナ釣り,,,,,
2022/02/06 12:12:09,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",アーセナルコラム,ない,,参加したい,,,,,
2022/02/06 12:12:34,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:12:41,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,そういう集まりがあれば是非参加したいです,,,,,
2022/02/06 12:15:01,10年以上(!?),ある,クマナイ(熊本),参加したい,"1人で参加しましたがフレンドリーに接してもらえて良かったです
",Twitter,猿さん,ない,,,,,,,
2022/02/06 12:16:09,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 12:19:58,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter",Theathletic,ない,,,,,,,
2022/02/06 12:21:42,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:21:54,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",グナ丸さん,ない,,,,,,,
2022/02/06 12:22:07,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 12:23:37,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",猿さん、AFCbell,ない,,,,,,,
2022/02/06 12:23:51,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 12:24:20,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ブログ, Twitter",,ない,,,,,,,
2022/02/06 12:25:20,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",アーセナル公式、mygoonerさん、グナ島さん、山仲さん,ない,,是非参加したい,,,,,
2022/02/06 12:25:40,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 12:26:19,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ブログ, Twitter, インスタ",グナ島さん,ない,,,,,,,
2022/02/06 12:26:45,10年以上(!?),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 12:26:46,10年以上(!?),ない,,,,"ニュースサイト, Twitter, YouTube",プレちゃん,ない,,したいー,,,,,
2022/02/06 12:27:08,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,Twitter,アーセナルニュース？という海外のアカウント,ない,,,,,,,
2022/02/06 12:27:35,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:27:43,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:30:20,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ, 公式アプリ",,ない,,,,,,,
2022/02/06 12:30:50,3~10年(ナカーマ、仲良くしましょう!!),ある,The Highbury (京都),参加したい,,"ニュースサイト, Twitter, Youtube",AFTV,ある,,,,,,,
2022/02/06 12:31:38,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,参加したい,,,,,
2022/02/06 12:31:49,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:33:06,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",mygunnerさん,ない,,,,,,,
2022/02/06 12:33:15,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 12:33:33,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",mygunner,ない,,,,,,,
2022/02/06 12:35:38,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:37:39,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 12:37:51,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",さるさんブログ、Twitter(@saru_gooner)、YouTube,ない,,,,,,,
2022/02/06 12:38:21,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,グナ島さん、らかぺまるさん,ない,,,,,,,
2022/02/06 12:39:49,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:42:02,3~10年(ナカーマ、仲良くしましょう!!),ある,クマナイ(熊本),参加したい,"くまナイを開催しております。
熊本にもグーナーさんはいるのですが、なかなか大きな観戦会は難しいですね(笑)　サッカー流してるお店も少ないですし。

ただ小規模な分、いつもワイワイ飲みながら話しできるので楽しいです。","ニュースサイト, ブログ, 掲示板, Twitter",,ない,,,,,,,
2022/02/06 12:43:20,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 12:44:36,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 12:44:40,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
