タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 16:40:41,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ない,,,,
2022/02/06 16:49:20,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter, インスタ",,ない,,,ない,,,,
2022/02/06 16:57:27,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter",,ない,,,ある,,,,
2022/02/06 17:03:11,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,,,,
2022/02/06 17:09:51,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, 雑誌",ARSENAL CHANGE EVERYTHING – なにもかもアーセナルのせいにするフットボールブログ,ない,,,ある,,,,
2022/02/06 17:12:04,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",グナ島さん,ある,Twitter,,ない,,活動頑張ってください！,,
2022/02/06 17:17:08,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ, DAZN",ガナ速,ない,,,ない,,アーセナル大好きですー！,,
2022/02/06 17:22:15,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ない,,,,
2022/02/06 17:34:22,10年以上(!?),ない,,,,Twitter,,ない,,,ない,,COYG,,
2022/02/06 18:33:21,10年以上(!?),ある,"ガナナイ(新潟), Gooners Night (東京 新宿御苑), The Armoury Night (愛知 名古屋), ハイナイ (大阪)",参加したい,良くも悪くも、他の参加者と気が合うか合わないかで満足感が相当変わる。,"ニュースサイト, ブログ, Twitter",さるグーナーさん、mygunnerさん、グナ島さん,ある,グナ新年会,現地情報とリンクした日本語版公式サイト,,,非公式のアカウントと肩を並べるくらい、質の高い公式アカウントができることを望みます。,,
2022/02/06 18:52:49,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,,,,
2022/02/06 18:54:01,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter",,ない,,,ある,,,,
2022/02/06 19:03:16,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ない,,ハーランド欲しい,,
2022/02/06 19:11:20,10年以上(!?),ある,"Gooners Night (東京 新宿御苑), The Armoury Night (愛知 名古屋), The Highbury (京都), ハイナイ (大阪)",参加したい,皆で応援できる楽しさ,Twitter,,ある,バッカスの新年会,,,,,,
2022/02/06 19:16:34,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"Twitter, YouTube",さるさん,ない,,観戦会,ない,いつあったのかも知りません。,,,
2022/02/06 19:20:23,10年以上(!?),ある,"イビナイ(東北), バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑)",参加したい,,"ブログ, Twitter, インスタ",,ある,,,,,,,
2022/02/06 19:24:54,10年以上(!?),ない,,,,"ブログ, Twitter",,ない,,,ある,開催場所が近い,,,
2022/02/06 19:29:52,10年以上(!?),ある,"イビナイ(東北), バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑)",参加したい,全国のグーナーの方たちとの素晴らしい出会いがありました。参加できる世の中に戻ったら是非参加してもらいたい。,"ニュースサイト, ブログ, Twitter, インスタ",,ある,東北イビナイではフットサルをやったりしました。春はグナ花見を実施。秋になればグナ芋煮と称してグーナーで芋煮会を毎年実施しています。10月初旬（開催地は山形市）,,,,,,
2022/02/06 19:46:24,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",Arsenal change everything ,ない,,,ある,観戦初心者が多く参加する観戦会などがあれば行ってみたいです。,,,
2022/02/06 19:51:57,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter",,ない,,,ある,,,,
2022/02/06 20:05:12,10年以上(!?),ある,ハイナイ (大阪),参加したい,,"ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/06 20:18:32,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,Twitter,,ない,,,ある,,,,
2022/02/06 20:38:14,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter",アーセナルウォッチ　アーセナルコラム　猿さん,ない,,現地でしか見れない映画等の上映,ない,今まで観戦会の情報を知らなかったので参加したことがありませんでした。,,,
2022/02/06 20:40:41,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",mygunnerさんが色々訳してくれて助かってます,ない,,,ない,住んでいる地方でも開催してほしい,アーセナル最高です,,
2022/02/06 21:14:20,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/06 21:18:22,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",猿さん、Arsenal Watch、Arsenal Change Everything,ある,Twitterつながりで有志で集った会(沖縄),,ない,,,,
2022/02/06 21:56:51,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,Twitterのスペース,ある,場所が遠い。知り合いが居ない。,,,
2022/02/06 22:22:37,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 22:26:59,10年以上(!?),ない,,,,"ニュースサイト, Twitter",,ない,,キャンプ、焼肉,ない,SkypeやZoomなどでワンクッションあると難易度が下がるかも,,,
2022/02/06 22:47:49,10年以上(!?),ある,"蝦夷ナイト(北海道), バッカスナイト(東京 池袋), ハイナイ (大阪), クロナイ(福岡), クマナイ(熊本)",参加したい,Twitterのフォロワーと対面して同じ熱量のアーセナル愛を語れる場があるのは素晴らしいです。気を遣いはしますが、やはりコミュニケーション力で楽しめる人とそうでない人は出てくるかもしれませんね。,Twitter,,ある,グナサル、クマナイ立ち上げ、バッカスでの飲み会,クロナイ主催の一人でしたので再開したい気持ちもありますが、コロナ禍以前に子供が出来た事で主催するのは難しくなりました。ただ出来る限りは協力したいです。,,,,,
2022/02/06 22:52:10,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ, 雑誌",,ない,,,ない,,,,
2022/02/06 23:25:39,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑)",参加したい,"かつて恵比寿であったエビナイや大船であったエミレーツナイトにも参加させて頂きました。
アーセナル中心の観戦会であれば安心して観れますし、他のサポもいる中での観戦会はヒリヒリ感が堪らないです。
どこの観戦会も主催者側が丁寧に迎えてくれます。本当に主催者の方には頭が下がります。
良い点…喜びも悲しみも一緒に味わえるのが最大の醍醐味かと思います。観戦会で世代や職業を超えた友人が全国にできたのは、なによりの喜びです。
悪い点…良くも悪くも内輪での盛り上がりになりがちな点かと思います。
そうならないように主催者の方はいつも、席を考えたり、声がけしたり、試合前にイベントを開いてくれたりしてます。

","ニュースサイト, ブログ, Twitter",猿さんブログ ,ある,PUMA主催のファンミーティング,座談会なんかいいですね。,,,頑張ってください！,,
2022/02/06 23:31:44,10年以上(!?),ある,"蝦夷ナイト(北海道), バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), The Highbury (京都), ハイナイ (大阪), オイナイ(広島), クマナイ(熊本), 桃ナイ",参加したい,,Twitter,,ある,,,,,,,
2022/02/06 23:53:49,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",,ない,,,ある,,,,
2022/02/07 0:37:05,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ, The Athletic（有料版）","さるさん、arseblog、プレミア公式サイト、ご意見番はPatrick Timmonsさん、移籍関係はFabrizio Romano, David Ornstein, The Athletic",ない,,このようなサークルの存在は知らなかったのでぜひ参加してみたいと思いました。こちらも、情報が一覧にまとまっていると非常に助かります！,ない,参加しずらいとかはないですが、コロナ禍において観戦会が開催されてるのかどうかもTwitterを彷徨う必要があるのでちょっと不便だなと感じていました。情報が網羅的にまとまっていて、規模（何人収容）等の情報があればより参加しやすいと思いました！,色々と大変かもしれませんが、アーセナルを応援する同士として応援しています。英語はネイティブなので何かあればできる範囲で協力させていただきます！Twitter: @tokyo_roamer,,
2022/02/07 1:25:21,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter, インスタ",ガナ速(個人ブログがある程度まとめられてて見やすいので),ない,,,ない,地方住みなのでオンラインでやってくれれば...,がんばってください！,,
2022/02/07 2:23:44,10年以上(!?),ない,,,,"Twitter, インスタ",,ない,,,ない,特に参加したいとは思っていません,,,
2022/02/07 8:02:28,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,ある,若い人が少なそう,,,
2022/02/07 9:19:17,3~10年(ナカーマ、仲良くしましょう!!),ある,Gooners Night (東京 新宿御苑),参加したい,,"Twitter, インスタ",,ある,,,,,,,
2022/02/07 9:21:25,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,ある,,,,
2022/02/07 10:16:05,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/07 10:34:31,10年以上(!?),ある,金沢ゴールデンナイト,参加したい,"良かった点
普段一人で観てるので、誰かと喋りながら観れるのは良い。細かいところで分かり会えるのが楽しかった。
悪かった点
アーセナルの状況、対戦相手によって参加率が変わりすぎる。人数が少ないと盛り下がるのでゲーム選びは大切だと思った。大都市なら集まりもいいと思いますが、私が参加したのは金沢なので。","ニュースサイト, Twitter",,ない,,,,,,,
2022/02/07 14:16:52,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,,ない,観戦会自体の存在は知っていて参加してみたいとは思っているのですが、どこでやってるか、どのように参加できるか知らないので教えていただけるとありがたいです！,,,
2022/02/07 21:13:27,10年以上(!?),ある,"蝦夷ナイト(北海道), バッカスナイト(東京 池袋)",参加したい,クラウザーさんが寝てた,"ブログ, Twitter, インスタ",ARSENAL CHANGE EVERYTHING,ある,グナAmongUs,,,,,,
2022/02/08 13:23:50,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ある,,,,
2022/02/08 17:42:49,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ",,ない,,,ない,,,,
2022/02/09 1:02:59,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ある,,,,
2022/02/13 14:02:33,3~10年(ナカーマ、仲良くしましょう!!),ある,バッカスナイト(東京 池袋),もう参加したくない,"初めて1人で行ったので緊張しました。みなグループが出来ていたので1人でいましたが試合観戦中は盛り上がってよかったです。
しかし、やっぱり知ってる人と少人数がいいかなと思い参加は１回きりで終わりました。","Twitter, インスタ",,ある,私は20代なのですが、年上が多くお酒も入っていて盛り上がっていました。　,はじめての人もアットホームに感じる集まり,,,,,
2022/02/13 14:06:28,10年以上(!?),ある,"Gooners Night (東京 新宿御苑), ハイナイ (大阪)",参加したい,,"ニュースサイト, Twitter",,ある,フットサル,,,,,,
2022/02/13 14:13:03,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",グナ島,ない,,,ある,初見さん大歓迎みたいな雰囲気があれば良い,,,データを基に解説している
2022/02/13 15:17:59,10年以上(!?),ない,,,,"ニュースサイト, Twitter",Goal.com、サッカーキング、ワールドサッカーダイジェスト、猿、mygooner,ない,,神奈川県内で集まれるコミュニティが欲しい,ない,場所が近い。告知を頻繁にしてくれると気付く。（開催されてる事すら知らなかった）,,,"大手のスポーツ情報誌・情報サイトである。
またはその翻訳を良くしてくれるアカウント。そのため私的感情も少ないしリスペクトもある。"
2022/02/13 15:25:38,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/13 15:28:22,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), ハイナイ (大阪)",参加したい,"良かった　ビッグマッチで人が集まった時は本場さながらのチャントで盛り上がる

悪かった　チャントの歌詞カードの配布がありホスピタリティも良いが、ローカルチャントを楽しめるほど経験のない参加者を置き去りにしていたかもしれない",Twitter,猿さん、mygunnerさんにはいつもお世話になっております。,ない,,アーセナル以外にハマるものがあれば参加してみたい,,,素晴らしいアンケートありがとうございました。”新参者”がいつの時代も新しい空気、価値観を運んでくれるので、勇気を持って踏み出してくれた人達を大切にしたいですね。,,前者はユーモアと現地観戦の空気の提供、後者は現地メディアの素晴らしい翻訳
2022/02/13 15:33:02,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,猿さん、グナ島さん、山中拓磨さん、らかぺまるさん、mygunnerさん,ない,,,ない,観戦会の情報が少ない,,,Twitterで手軽に情報を手に入れることができるため
2022/02/13 15:33:45,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,,,,
2022/02/13 15:35:30,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,参加してみたいです！,ある,どういう会なのか、具体的に様子を知ることができるような発信をしてくださったらありがたいです！,,,
2022/02/13 15:52:25,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), The Armoury Night (愛知 名古屋), The Highbury (京都), ハイナイ (大阪), オイナイ(広島), クマナイ(熊本)",参加したい,,Twitter,,ある,,,,,,,
2022/02/13 15:54:51,3~10年(ナカーマ、仲良くしましょう!!),ある,イビナイ(東北),参加したい,出来上がったコミュニティに入るのが難しかったが、みんなと盛り上がる体験は楽しかった。,"ブログ, Twitter, インスタ",,ない,,,,,,,
2022/02/13 16:05:37,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ない,,,,
2022/02/13 17:00:18,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter",さるさん,ない,,,ある,観戦会ありも無しも楽しめれば良いと思います,強制的じゃなく楽しめるのが、良いと思います,,熱い、楽しい、魅力が、凝縮されている。
2022/02/13 17:24:24,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), The Highbury (京都), ハイナイ (大阪), コルナイ",参加したい,,"ニュースサイト, 掲示板, Twitter, インスタ",,ある,フットサル、旅行、お花見、花火大会,,,,,,
2022/02/13 17:28:08,10年以上(!?),ない,,,,"ニュースサイト, Twitter, 公式ホームページ",,ない,,,ない,,,,
2022/02/13 17:36:08,10年以上(!?),ある,ハイナイ (大阪),参加したい,,Twitter,,ある,グナサル、飲み会,,,,,,
2022/02/13 17:39:27,10年以上(!?),ない,,,,"ニュースサイト, 掲示板, Twitter, インスタ",,ない,,,ない,,,,
2022/02/13 19:55:14,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",グナ島、らかぺまる,ない,,,ない,,,,
2022/02/14 1:18:22,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",mygoonerさん、さるさん、拓磨さん,ない,,夫婦グーナー,ない,,,,様々な切り口でアーセナルの情報を読める。
2022/02/14 6:04:27,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ない,,,,
2022/02/15 23:48:29,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter","arseblog, 公式サイト、さるさんブログ",ない,,,ある,,,,圧倒的にファン目線で共感できる
2022/02/15 23:59:40,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",,ない,,,ある,,,,
2022/02/16 0:01:16,3~10年(ナカーマ、仲良くしましょう!!),ある,Gooners Night (東京 新宿御苑),参加したい,,Twitter,,ある,フットサル,,,,,,
2022/02/16 0:06:57,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",らかぺまるさん,ない,,,ない,まだそこまで詳しくないので話についていけない気がしている,,,わかりやすく情報を伝えてくれる
2022/02/16 0:22:07,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter",,ない,,,ある,,,,
2022/02/16 0:22:50,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter, 特に集めていない",,ない,,,ない,観戦会？何それ美味しいの？,,,
2022/02/16 0:28:45,10年以上(!?),ある,"Gooners Night (東京 新宿御苑), 金沢",参加したい,喜びを分かち合える。点決まった瞬間、勝った瞬間の沸き様。悪かったところは特に思い当たらない,"ブログ, Twitter",さるさん、mygunnerさん、笹木かおりさん、David Ornstein、せこさん、バッカスさん、グナ島さん,ない,,,,,,,アーセナルに関する情報をいろんな角度から得ることができ、愛が深まるから
2022/02/16 0:31:33,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,,,,
2022/02/16 0:35:19,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ, YouTube",猿さん　プレチャンさん,ない,,,ある,参加する気が無い,冨安選手が加入して日本でアーセナルが注目される中、公式さんにはしっかりと仕事をして頂きたい。,,愛が有ります
2022/02/16 0:48:57,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ある,,,,
2022/02/16 0:50:12,3~10年(ナカーマ、仲良くしましょう!!),ある,The Armoury Night (愛知 名古屋),参加したい,"【良かった点】
試合を見ながら感情を共有できること。
【悪かった点】
1回しか参加していないこともあり、
内輪ネタのようなノリについていけないこと。","ニュースサイト, Twitter, インスタ",,ない,,,,,,,
2022/02/16 1:53:35,10年以上(!?),ない,,,,"ニュースサイト, Twitter",,ない,,,ない,,,,
2022/02/16 6:42:55,10年以上(!?),ない,,,,Twitter,,ない,,,ない,,,,
2022/02/16 7:16:39,10年以上(!?),ある,"The Armoury Night (愛知 名古屋), ハイナイ (大阪)",参加したい,"仲良くなるしかない雰囲気だった
内輪感はあるけれど自分の好きな観点をさらけだしたり、聞くだけで雰囲気に浸るのもOK。誰も批判しない朗らかな人が多い(バルサとユナイテッドとチェルシーとスパーズ除く)
あとチャントを覚えられる","ブログ, Twitter","chan,mygooner,change,stuart_photoafc,",ない,,,,,,,"chanさん→豊富な現地情報の訳から導く文体リズム、シニカルさと愛情
mygooner→グーナーの母？現地のインタビューや記事の訳がドラマティックで素晴らしい。お金払って購読しなきゃいけないくらい
stuart→公式フォトグラファー、選手の息遣いやチームの雰囲気が伝わってくる"
2022/02/16 7:37:13,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ない,,,,
2022/02/16 8:17:30,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",,ある,PUMA主催のイベント,,ある,,,,
2022/02/16 9:17:35,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ない,,,,
2022/02/16 11:21:07,10年以上(!?),ない,,,,"ブログ, Twitter",プレミアリーグ情報発信局(アーセナル贔屓),ない,,,ない,ウチでゆっくり観たい派,ベンゲル前からアーセナルを知っていた稀有な人間です。,,管理人のKenさんが良い人。プレミアリーグ情報発信と言ってるのに、99%アーセナルの情報しかない！ あと、他チームを貶すことがないのもいい。
2022/02/16 13:57:47,10年以上(!?),ない,,,,"ニュースサイト, 掲示板, Twitter",猿さんのやつ,ない,,,ある,年齢層を合わせたり、観戦歴を合わせたりすると参加しやすいかも,,,馴染みやすい
2022/02/16 16:52:27,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ある,,,,
2022/02/16 22:33:19,10年以上(!?),ある,Arsenal Singapore,参加したい,苦楽を共感できるのが良い。,Twitter,Arsenal official,ない,,機会とタイミングが合えば参加してみたい,,,COYG,,間違いがないから。
2022/02/17 0:57:27,10年以上(!?),ない,,,,Twitter,,ない,,,ない,,,,
2022/02/22 1:32:21,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ある,,,,
2022/02/27 18:59:46,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter",,ない,,,ある,,,,
2022/03/05 13:13:27,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ある,戦術等に詳しくないので…,,,
